date,open,high,low,close,volume,dividends,stock splits
2021-06-01,399.0,399.0,389.6499938964844,394.2099914550781,105874,0.0,0.0
2021-06-02,399.0,402.0,383.0,401.1400146484375,110393,0.0,0.0
2021-06-03,406.95001220703125,408.989990234375,396.0,405.6700134277344,102908,0.0,0.0
2021-06-04,409.95001220703125,410.79998779296875,400.54998779296875,407.1600036621094,90464,0.0,0.0
2021-06-07,412.95001220703125,414.70001220703125,403.0,407.82000732421875,154233,0.0,0.0
2021-06-08,354.79998779296875,414.0,354.79998779296875,410.1199951171875,79176,0.0,0.0
2021-06-09,410.0,415.95001220703125,403.3599853515625,405.9100036621094,108444,0.0,0.0
2021-06-10,411.8999938964844,412.8500061035156,401.0,410.8699951171875,43681,0.0,0.0
2021-06-11,415.95001220703125,416.0,400.1000061035156,410.57000732421875,65798,0.0,0.0
2021-06-14,414.0,414.8999938964844,403.7900085449219,409.7699890136719,110723,0.0,0.0
2021-06-15,414.0,414.0,409.8500061035156,410.8399963378906,62462,0.0,0.0
2021-06-16,414.0,414.0,405.1000061035156,407.4599914550781,73773,0.0,0.0
2021-06-17,370.79998779296875,410.0,370.79998779296875,402.8500061035156,73734,0.0,0.0
2021-06-18,405.6499938964844,405.70001220703125,391.1000061035156,401.2200012207031,113515,0.0,0.0
2021-06-21,405.0,405.0,395.67999267578125,403.3399963378906,100908,0.0,0.0
2021-06-22,402.0,411.0,402.0,407.2300109863281,53442,0.0,0.0
2021-06-23,415.0,415.0,401.6499938964844,402.8599853515625,61592,0.0,0.0
2021-06-24,400.0,408.8999938964844,400.0,401.57000732421875,59891,0.0,0.0
2021-06-25,404.0,404.5199890136719,397.6000061035156,403.9599914550781,56910,0.0,0.0
2021-06-28,408.29998779296875,408.79998779296875,401.0,403.9100036621094,73762,0.0,0.0
2021-06-29,408.25,408.29998779296875,401.1499938964844,405.1600036621094,59857,0.0,0.0
2021-06-30,406.95001220703125,407.0,403.0,403.4599914550781,51825,0.0,0.0
2021-07-01,406.95001220703125,406.9800109863281,402.29998779296875,403.25,235851,0.0,0.0
2021-07-02,407.25,407.25,402.510009765625,403.6300048828125,110298,0.0,0.0
2021-07-05,409.45001220703125,409.45001220703125,403.0,405.010009765625,379369,0.0,0.0
2021-07-06,407.0,409.44000244140625,403.6400146484375,405.8599853515625,70660,0.0,0.0
2021-07-07,408.0,408.0,396.04998779296875,406.7200012207031,81183,0.0,0.0
2021-07-08,408.95001220703125,431.1000061035156,404.04998779296875,406.54998779296875,113425,0.0,0.0
2021-07-09,409.25,409.3900146484375,401.04998779296875,408.0400085449219,86505,0.0,0.0
2021-07-12,419.7900085449219,419.7900085449219,406.04998779296875,408.4599914550781,108697,0.0,0.0
2021-07-13,415.95001220703125,415.989990234375,405.79998779296875,407.0899963378906,80271,0.0,0.0
2021-07-14,370.5,409.8999938964844,370.5,407.010009765625,123224,0.0,0.0
2021-07-15,400.44000244140625,410.82000732421875,400.44000244140625,408.3999938964844,65240,0.0,0.0
2021-07-16,410.8699951171875,411.45001220703125,394.20001220703125,409.760009765625,52838,0.0,0.0
2021-07-19,471.20001220703125,471.20001220703125,404.0,408.0299987792969,146399,0.0,0.0
2021-07-20,414.0,414.0,402.5,405.30999755859375,129363,0.0,0.0
2021-07-22,409.95001220703125,410.760009765625,402.04998779296875,409.739990234375,92919,0.0,0.0
2021-07-23,411.70001220703125,411.989990234375,408.04998779296875,410.010009765625,58782,0.0,0.0
2021-07-26,414.0,414.0,403.0,412.1400146484375,69573,0.0,0.0
2021-07-27,375.0,474.0,375.0,409.7099914550781,71285,0.0,0.0
2021-07-28,415.95001220703125,415.95001220703125,405.25,411.1400146484375,91139,0.0,0.0
2021-07-29,386.54998779296875,412.9800109863281,386.54998779296875,410.7799987792969,119488,0.0,0.0
2021-07-30,412.95001220703125,416.0,403.04998779296875,413.4599914550781,100813,0.0,0.0
2021-08-02,410.04998779296875,475.45001220703125,410.04998779296875,416.4800109863281,83355,0.0,0.0
2021-08-03,419.5,419.94000244140625,411.0,418.20001220703125,78326,0.0,0.0
2021-08-04,421.95001220703125,422.6099853515625,415.0,415.8599853515625,117777,0.0,0.0
2021-08-05,419.0,421.0,412.75,416.0899963378906,409854,0.0,0.0
2021-08-06,418.95001220703125,419.0,414.04998779296875,417.2300109863281,131459,0.0,0.0
2021-08-09,379.70001220703125,471.45001220703125,379.70001220703125,415.4800109863281,90908,0.0,0.0
2021-08-10,418.95001220703125,418.95001220703125,410.0,412.55999755859375,93340,0.0,0.0
2021-08-11,418.95001220703125,418.95001220703125,405.3500061035156,410.29998779296875,115832,0.0,0.0
2021-08-12,413.0,414.739990234375,407.0,413.4700012207031,110726,0.0,0.0
2021-08-13,417.95001220703125,417.95001220703125,410.04998779296875,413.6000061035156,203588,0.0,0.0
2021-08-16,418.0,418.0,407.0,414.3599853515625,108661,0.0,0.0
2021-08-17,360.5,476.45001220703125,360.5,415.8999938964844,84455,0.0,0.0
2021-08-18,419.0,422.0,412.0,418.32000732421875,67646,0.0,0.0
2021-08-20,419.3999938964844,422.0,411.0,413.0299987792969,133429,0.0,0.0
2021-08-23,419.0,419.70001220703125,409.5,411.239990234375,100392,0.0,0.0
2021-08-24,415.95001220703125,417.0,403.04998779296875,414.510009765625,109531,0.0,0.0
2021-08-25,418.95001220703125,419.0,411.0,414.989990234375,86476,0.0,0.0
2021-08-26,419.3999938964844,419.739990234375,377.6499938964844,417.7300109863281,84882,0.0,0.0
2021-08-27,492.8500061035156,492.8500061035156,392.75,422.0400085449219,69997,0.0,0.0
2021-08-30,424.95001220703125,431.0,416.04998779296875,428.20001220703125,111563,0.0,0.0
2021-08-31,492.3500061035156,492.3500061035156,402.54998779296875,433.8800048828125,172103,0.0,0.0
